Paper,D_t,D_p,u_mf,u_0,h,D_B
Park,10,86,0.63,6.3,10,1.479892761
Park,10,86,0.63,6.3,20,2.745308311
Park,10,86,0.63,6.3,30,4.386058981
Park,10,86,0.63,3.78,20,1.844504021
Park,10,86,0.63,3.78,30,3.09919571
Park,10,86,0.63,1.89,20,0.986595174
Park,10,86,0.63,1.89,30,1.865951743
Park,10,154,1.83,10.98,10,2.902208202
Park,10,154,1.83,10.98,15,4.921135647
Park,10,154,1.83,10.98,20,6.356466877
Park,10,154,1.83,10.98,30,9.164037855
Park,10,154,1.83,7.32,10,1.876971609
Park,10,154,1.83,7.32,15,2.839116719
Park,10,154,1.83,7.32,20,3.80126183
Park,10,154,1.83,7.32,20,4.242902208
Park,10,154,1.83,7.32,25,5.015772871
Park,10,154,1.83,7.32,30,5.694006309
Park,10,154,1.83,5.49,10,1.498422713
Park,10,154,1.83,5.49,20,2.886435331
Park,10,154,1.83,5.49,30,4.132492114
Park,10,154,1.83,3.66,10,1.009463722
Park,10,154,1.83,3.66,15,1.498422713
Park,10,154,1.83,3.66,20,1.782334385
Park,10,154,1.83,3.66,25,2.14511041
Park,10,154,1.83,3.66,30,2.397476341
Park,10,154,1.83,2.745,20,1.025236593
Park,10,154,1.83,2.745,25,1.356466877
Park,10,154,1.83,2.745,30,1.608832808
Park,10,334,6.8,20.4,10,5.04
Park,10,334,6.8,20.4,20,11.22
Park,10,334,6.8,20.4,30,15
Park,10,334,6.8,13.6,10,2.2
Park,10,334,6.8,13.6,20,4
Park,10,334,6.8,13.6,30,5.48
Park,10,334,6.8,10.2,10,1.32
Park,10,334,6.8,10.2,20,2.44
Park,10,334,6.8,10.2,30,2.82
