Dp = 86 micron,,vm=0.63 cm/s,,,,,,,,,S.no.,.,D_p (micron),u_mf (cm/s),u_0 (cm/s),h (cm),D_B (cm)
v = 10vm,,v = 6vm,,v =3vm,,,,,,,1,10,86,0.63,6.3,10,1.479892761
X,Y,X,Y,X,Y,,,,,,2,10,86,0.63,6.3,20,2.745308311
10.08944544,1.479892761,20.04472272,1.844504021,20.04472272,0.986595174,,,,,,3,10,86,0.63,6.3,30,4.386058981
20.07155635,2.745308311,30.16100179,3.09919571,30.02683363,1.865951743,,,,,,4,10,86,0.63,3.78,20,1.844504021
29.91949911,4.386058981,,,,,,,,,,5,10,86,0.63,3.78,30,3.09919571
,,,,,,,,,,,6,10,86,0.63,1.89,20,0.986595174
Dp = 154 micron,,vm=1.83 cm/s,,,,,,,,,7,10,86,0.63,1.89,30,1.865951743
v = 6vm,,v = 4vm,,v = 3vm,,v = 2vm,,v = 1.5vm,,,1,10,154,1.83,10.98,10,2.902208202
X,Y,X,Y,X,Y,X,Y,X,Y,,2,10,154,1.83,10.98,15,4.921135647
10.10443864,2.902208202,10.14360313,1.876971609,10.10443864,1.498422713,10.10443864,1.009463722,20.20887728,1.025236593,,3,10,154,1.83,10.98,20,6.356466877
15.11749347,4.921135647,15.07832898,2.839116719,20.1305483,2.886435331,15.03916449,1.498422713,25.14360313,1.356466877,,4,10,154,1.83,10.98,30,9.164037855
20.05221932,6.356466877,20.05221932,3.80126183,30.03916449,4.132492114,20.16971279,1.782334385,30.07832898,1.608832808,,5,10,154,1.83,7.32,10,1.876971609
30,9.164037855,20.05221932,4.242902208,,,25.02610966,2.14511041,,,,6,10,154,1.83,7.32,15,2.839116719
,,24.90861619,5.015772871,,,30.03916449,2.397476341,,,,7,10,154,1.83,7.32,20,3.80126183
,,30.11749347,5.694006309,,,,,,,,8,10,154,1.83,7.32,20,4.242902208
,,,,,,,,,,,9,10,154,1.83,7.32,25,5.015772871
Dp = 334 micron,,vm=6.8 cm/s,,,,,,,,,10,10,154,1.83,7.32,30,5.694006309
v = 3vm,,v = 2vm,,v = 1.5vm,,,,,,,11,10,154,1.83,5.49,10,1.498422713
X,Y,X,Y,X,Y,,,,,,12,10,154,1.83,5.49,20,2.886435331
9.867109635,5.04,9.867109635,2.2,9.966777409,1.32,,,,,,13,10,154,1.83,5.49,30,4.132492114
19.9833887,11.22,19.9833887,4,20.03322259,2.44,,,,,,14,10,154,1.83,3.66,10,1.009463722
30.04983389,15,30.09966777,5.48,30,2.82,,,,,,15,10,154,1.83,3.66,15,1.498422713
,,,,,,,,,,,16,10,154,1.83,3.66,20,1.782334385
Dt = 10cm,,,,,,,,,,,17,10,154,1.83,3.66,25,2.14511041
,,,,,,,,,,,18,10,154,1.83,3.66,30,2.397476341
,,,,,,,,,,,19,10,154,1.83,2.745,20,1.025236593
,,,,,,,,,,,20,10,154,1.83,2.745,25,1.356466877
,,,,,,,,,,,21,10,154,1.83,2.745,30,1.608832808
,,,,,,,,,,,1,10,334,6.8,20.4,10,5.04
,,,,,,,,,,,2,10,334,6.8,20.4,20,11.22
,,,,,,,,,,,3,10,334,6.8,20.4,30,15
,,,,,,,,,,,4,10,334,6.8,13.6,10,2.2
,,,,,,,,,,,5,10,334,6.8,13.6,20,4
,,,,,,,,,,,6,10,334,6.8,13.6,30,5.48
,,,,,,,,,,,7,10,334,6.8,10.2,10,1.32
,,,,,,,,,,,8,10,334,6.8,10.2,20,2.44
,,,,,,,,,,,9,10,334,6.8,10.2,30,2.82
