d_p (mm),Pressure (MPa),Temperature (C),u_mf (m/s),Dist Name,mean,variance,skew,kurtosis,2nd order moment,median,50% interval low,50% interval high,95% interval low,95% interval high
0.4,0.1,300,0.087152672,Narrow,0.4,0,nan,nan,0.16,0.4,0.4,0.4,0.4,0.4
0.4,0.1,500,0.066328244,Narrow,0.4,0,nan,nan,0.16,0.4,0.4,0.4,0.4,0.4
0.4,0.1,700,0.057175573,Narrow,0.4,0,nan,nan,0.16,0.4,0.4,0.4,0.4,0.4
0.4,0.1,850,0.052557252,Narrow,0.4,0,nan,nan,0.16,0.4,0.4,0.4,0.4,0.4
0.4,0.3,300,0.08575969,Narrow,0.4,0,nan,nan,0.16,0.4,0.4,0.4,0.4,0.4
0.4,0.3,500,0.065550388,Narrow,0.4,0,nan,nan,0.16,0.4,0.4,0.4,0.4,0.4
0.4,0.3,700,0.05344186,Narrow,0.4,0,nan,nan,0.16,0.4,0.4,0.4,0.4,0.4
0.4,0.3,850,0.051906977,Narrow,0.4,0,nan,nan,0.16,0.4,0.4,0.4,0.4,0.4
0.4,0.5,300,0.085457529,Narrow,0.4,0,nan,nan,0.16,0.4,0.4,0.4,0.4,0.4
0.4,0.5,500,0.064963551,Narrow,0.4,0,nan,nan,0.16,0.4,0.4,0.4,0.4,0.4
0.4,0.5,700,0.053552062,Narrow,0.4,0,nan,nan,0.16,0.4,0.4,0.4,0.4,0.4
0.4,0.5,850,0.051132575,Narrow,0.4,0,nan,nan,0.16,0.4,0.4,0.4,0.4,0.4
0.5,0.1,30,0.276341587,Narrow,0.5,0,nan,nan,0.25,0.5,0.5,0.5,0.5,0.5
0.5,0.1,200,0.143887401,Narrow,0.5,0,nan,nan,0.25,0.5,0.5,0.5,0.5,0.5
0.5,0.1,300,0.121338653,Narrow,0.5,0,nan,nan,0.25,0.5,0.5,0.5,0.5,0.5
0.5,0.1,400,0.093901715,Narrow,0.5,0,nan,nan,0.25,0.5,0.5,0.5,0.5,0.5
0.5,0.1,500,0.08838279,Narrow,0.5,0,nan,nan,0.25,0.5,0.5,0.5,0.5,0.5
0.5,0.1,600,0.082548499,Narrow,0.5,0,nan,nan,0.25,0.5,0.5,0.5,0.5,0.5
1.3,0.1,30,0.870667482,Narrow,1.3,0,nan,nan,1.69,1.3,1.3,1.3,1.3,1.3
1.3,0.1,200,0.747549659,Narrow,1.3,0,nan,nan,1.69,1.3,1.3,1.3,1.3,1.3
1.3,0.1,300,0.665046384,Narrow,1.3,0,nan,nan,1.69,1.3,1.3,1.3,1.3,1.3
1.3,0.1,400,0.556701108,Narrow,1.3,0,nan,nan,1.69,1.3,1.3,1.3,1.3,1.3
1.3,0.1,500,0.41705874,Narrow,1.3,0,nan,nan,1.69,1.3,1.3,1.3,1.3,1.3
1.3,0.1,600,0.361313283,Narrow,1.3,0,nan,nan,1.69,1.3,1.3,1.3,1.3,1.3
1,0.1,30,0.66760154,Narrow,1,0,nan,nan,1,1,1,1,1,1
1,0.1,200,0.454391523,Narrow,1,0,nan,nan,1,1,1,1,1,1
1,0.1,300,0.328272377,Narrow,1,0,nan,nan,1,1,1,1,1,1
1,0.1,400,0.227449335,Narrow,1,0,nan,nan,1,1,1,1,1,1
1,0.1,500,0.148127981,Narrow,1,0,nan,nan,1,1,1,1,1,1
1,0.1,600,0.090669688,Narrow,1,0,nan,nan,1,1,1,1,1,1
0.4,0.1,300,0.091854962,Binary,0.4343,0.01235676,0.080064077,-1.993589744,0.20097325,0.3275,0.3275,0.55,0.3275,0.55
0.4,0.1,500,0.078503817,Binary,0.4343,0.01235676,0.080064077,-1.993589744,0.20097325,0.3275,0.3275,0.55,0.3275,0.55
0.4,0.1,700,0.073633588,Binary,0.4343,0.01235676,0.080064077,-1.993589744,0.20097325,0.3275,0.3275,0.55,0.3275,0.55
0.4,0.1,850,0.071030534,Binary,0.4343,0.01235676,0.080064077,-1.993589744,0.20097325,0.3275,0.3275,0.55,0.3275,0.55
0.4,0.3,300,0.09096124,Binary,0.4343,0.01235676,0.080064077,-1.993589744,0.20097325,0.3275,0.3275,0.55,0.3275,0.55
0.4,0.3,500,0.077403101,Binary,0.4343,0.01235676,0.080064077,-1.993589744,0.20097325,0.3275,0.3275,0.55,0.3275,0.55
0.4,0.3,700,0.071604651,Binary,0.4343,0.01235676,0.080064077,-1.993589744,0.20097325,0.3275,0.3275,0.55,0.3275,0.55
0.4,0.3,850,0.070666667,Binary,0.4343,0.01235676,0.080064077,-1.993589744,0.20097325,0.3275,0.3275,0.55,0.3275,0.55
0.4,0.5,300,0.090755799,Binary,0.4343,0.01235676,0.080064077,-1.993589744,0.20097325,0.3275,0.3275,0.55,0.3275,0.55
0.4,0.5,500,0.07614849,Binary,0.4343,0.01235676,0.080064077,-1.993589744,0.20097325,0.3275,0.3275,0.55,0.3275,0.55
0.4,0.5,700,0.069698783,Binary,0.4343,0.01235676,0.080064077,-1.993589744,0.20097325,0.3275,0.3275,0.55,0.3275,0.55
0.4,0.5,850,0.07013882,Binary,0.4343,0.01235676,0.080064077,-1.993589744,0.20097325,0.3275,0.3275,0.55,0.3275,0.55
1.3,0.1,30,0.741497296,Binary,1.495,0.308025,-1.04E-14,-2,2.54305,0.94,0.94,2.05,0.94,2.05
1.3,0.1,200,0.592235437,Binary,1.495,0.308025,-1.04E-14,-2,2.54305,0.94,0.94,2.05,0.94,2.05
1.3,0.1,300,0.532340343,Binary,1.495,0.308025,-1.04E-14,-2,2.54305,0.94,0.94,2.05,0.94,2.05
1.3,0.1,400,0.472416401,Binary,1.495,0.308025,-1.04E-14,-2,2.54305,0.94,0.94,2.05,0.94,2.05
1.3,0.1,500,0.428844922,Binary,1.495,0.308025,-1.04E-14,-2,2.54305,0.94,0.94,2.05,0.94,2.05
1.3,0.1,600,0.399321549,Binary,1.495,0.308025,-1.04E-14,-2,2.54305,0.94,0.94,2.05,0.94,2.05
0.4,0.1,300,0.085389313,Gaussian,0.41405,0.007564597,-0.177537384,-0.626373994,0.179002,0.4025,0.3275,0.475,0.25,0.55
0.4,0.1,500,0.069351145,Gaussian,0.41405,0.007564597,-0.177537384,-0.626373994,0.179002,0.4025,0.3275,0.475,0.25,0.55
