name,mean,variance,skew,kurtosis,1st order moment,2nd order moment,median,50% interval low,50% interval high,95% interval low,95% interval high
gaussian 0 d=0.4mm,0.41405000000000003,0.007564597499999964,-0.17753738373828992,-0.6263739940755557,0.41405000000000003,0.179002,0.4025,0.3275,0.475,0.25,0.55
gaussian 1 d=0.5mm,1.09695,0.5909774474999996,1.566794583626188,3.367799020150801,1.09695,1.7942767499999999,0.94,0.49,0.94,0.05,2.75
gaussian 2 d=0.5mm,0.9608,0.6336803599999999,1.8104002128877619,3.630909251744317,0.9608,1.556817,0.49,0.49,0.94,0.225,2.75
uniform 0 d=0.4mm,0.42337500000000006,0.011092046874999956,-0.30247441199374286,-1.2039415740108588,0.42337500000000006,0.1903384375,0.4025,0.3275,0.55,0.25,0.55
uniform 1 d=1.0mm,1.5972499999999998,0.5992211875,0.17157811040222345,-1.2102828306096247,1.5972499999999998,3.1504287499999997,1.425,0.94,2.05,0.49,2.75
binary 0 d=0.4mm,0.4343,0.012356760000000022,0.08006407690252772,-1.9935897435896468,0.4343,0.20097325000000005,0.3275,0.3275,0.55,0.3275,0.55
binary 1 d=1.3mm,1.4949999999999999,0.3080250000000002,-1.0390854488675666e-14,-1.9999999999999218,1.4949999999999999,2.54305,0.94,0.94,2.05,0.94,2.05
narrow 0 d=0.4mm,0.4,0.0,nan,-inf,0.4,0.16000000000000003,0.4,0.4,0.4,0.4,0.4
narrow 1 d=0.5mm,0.5,0.0,nan,nan,0.5,0.25,0.5,0.5,0.5,0.5,0.5
narrow 2 d=1.0mm,1.0,0.0,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
narrow 3 d=1.3mm,1.3,0.0,-inf,inf,1.3,1.6900000000000002,1.3,1.3,1.3,1.3,1.3
